"","hmm","V2"
"3%","-104","tl4"
"10%","-67","tl4"
"20%","-42","tl4"
"30%","-27","tl4"
"3%1","-101","tl2"
"10%1","-58","tl2"
"20%1","-36","tl2"
"30%1","-24","tl2"
"3%2","-121","sh6"
"10%2","-88","sh6"
"20%2","-64","sh6"
"30%2","-49","sh6"
"3%3","-128","nb9"
"10%3","-89","nb9"
"20%3","-60","nb9"
"30%3","-43","nb9"
"3%4","-44","nb8"
"10%4","-20","nb8"
"20%4","-5","nb8"
"30%4","5","nb8"
"3%5","-136","nb3"
"10%5","-95","nb3"
"20%5","-68","nb3"
"30%5","-51","nb3"
"3%6","-184","nb1"
"10%6","-114","nb1"
"20%6","-80","nb1"
"30%6","-58","nb1"
"3%7","-36","gs3"
"10%7","-21","gs3"
"20%7","-9","gs3"
"30%7","-1","gs3"
"3%8","-52","gr8"
"10%8","-27","gr8"
"20%8","-13","gr8"
"30%8","-5","gr8"
"3%9","-101","gr3"
"10%9","-66","gr3"
"20%9","-40","gr3"
"30%9","-26","gr3"
"3%10","-86","gr1"
"10%10","-48","gr1"
"20%10","-25","gr1"
"30%10","-14","gr1"
